Text,label
"16+
Her/she
“Too shy to add random people, at least don’t talk to me..”

( Masochist )

( Sadistic )",1
kvCXb,0
"WUT THE HELL - OH MY GAH
                    Bruh are so silly and dumb dumb ducky",0
Tag - KovaMir,0
"Check folIowing for bio :3
I am LESBIAN",1
"hello everyone

I do studio",0
"If the world ends, that would be great",0
Wawa~ ♥,0
I'm a shy person.,0
my name is 星僕 :3,0
Asther <3,0
,0
"Ask for 🔵
QOH 💖

Owner: Ifly1989",1
dc:oneandtrueking.,1
"2010-2025 
death of a senior player",0
"Halo, Itz me Shogun",0
（＾ω＾）,0
"💚🖤💚🖤💚🖤💚
【Green Black】
💚🖤💚🖤💚🖤💚


------------------------------------------------------------------
💰o(*°▽°*)o💰
------------------------------------------------------------------
[🍁FPE🍁]

would you be in quizur fpe school

of fundamental paper education fpe fanfic

education characters fpe fpe school

┐( ˘ ､ ˘ )┌
------------------------------------------------------------------
sleep in cold room me 😴

cup of coffee milk me 🥱☕
------------------------------------------------------------------
games link : www.roblox.com/pt/games/74407306945838
------------------------------------------------------------------
💚🖤💚🖤💚🖤💚💚🖤💚🖤💚🖤💚💚🖤💚🖤💚🖤",1
☆,0
I'm Usually Crazy or Depressed i usually smoke the yk stuff and I'll probably friend you if you follow also I'm a Big Sab Trader so if you wanna trade. follow me and I'll friend you,0
likely to get banned by the end of the week.,0
"鳴海 弦 ❤
Narumi my beloved (^з^)-☆Chu!! <3",1
add me if you want,0
Wenas :3,0
to lazy to change my bio,0
"Just an average feminine boy
Disk is: Felixdafeminineboy.
Stuff about me: Im very clingy And i Can text you every day Unless im busy and No i do not do studio or anything like that",0
Ask 4 blue,0
Lion <3,0
"HI
follow pls :3",1
FlJng,0
Yuvec,0
"She says
""Be grateful, at least you're fed,""
While my soul rots in this bed
I make art out of broken skin
But to her
It’s just “wasting time again.”
She never asked why I don’t sleep
Why my silence runs so deep
Why I flinch when I hear her voice
Like pain was never even my choice
I try to speak
But words decay
Like no one listens anyway
I could vanish and she’d still say
“Why are you always in the way?”
I see people laugh like life makes sense
While I’m stuck behind this fence
I scream in songs ‘cause I can’t in real life
Each lyric’s a blade
Not just a knife
They call me ""too much"" 
Or ""way too sad"" 
But never ask why I feel this bad
Like I chose this storm inside my chest
Like I enjoy never getting rest
She prays for me but never sees
I’m choking beneath her rosaries
Told me God don’t like the way I feel
Like holy love means you gotta heal
But maybe I’m sick in ways that stay
And maybe that’",1
Ask for blu,0
games only :3,0
,0
PlungerMan🇹🇭,0
"eruhm hey there Im lenni...duh

im not entitled to anything rlly so I do whatever!!

yeah yeah im one of those ""femboys"" or something",0
月抛,0
"algunas veces soy timida, no suelo hablar mucho, me divierto  mas con amigos, juego algunos battles y. fnfs y algunas veces de terror...
Santy(osito)💗",0
"˗ˏˋ ꒰𝘪𝘯𝘧𝘰꒱ ˎˊ˗
୨୧ : ꒰ ૮꒰🍒 ˶• ༝ •˶꒱ა ⌗ ωℓcm !! ꒱ : ୨୧ 
🦴 ˚ ᵎᵎ . . .  ๑ ꒰ᐢ. .ᐢ꒱  𐙚
૮꒰ ˶• ༝ •˶꒱ა ⌗ ω
︵︵︵︵︵°•*.˚ · ·♡· · ˚.*•°︵︵︵︵
˚ ᵎᵎ . . .  ๑ ꒰ᐢ. .ᐢ꒱ 🥕  𐙚
· · ·I'm 17+ · · · · · · .  ⊹    ⌗
˚ ⊹ flws are appreciated 🤍
 ⌣⌣⌣⌣⌣⌣୨୧ 
 >>>Feel free 2 add me<<<
 ૮꒰◞ ˕ ◟ ྀི꒱ა  ˳ .  ⊹    ⌗  
♡ :
˚ ︶꒷ ┈┈┈꒰  🦴 ꒱┈┈┈ ꒷꒦ ˚ ⏔
(´,,>ω<,,`) ♡  🐾 
Please don’t copy fits/bio · ·♡
>⩊<★● 𝐝𝐨𝐧𝐭 𝐂𝐨𝐩𝐲 𝐚𝐧𝓎 o𝐟 𝐦y 𝐀𝐯𝐚𝐭𝐚𝐫彡☆
I like eeping 💤
i luv making new friendos!! 
super kind to everyone > ⸝⸝⸝ < 
꒰ ♡ ꒱ ┊ multiple style
  ℐ ℒ𝒪𝒱ℰ  𝒞𝒜𝒯𝒮
♡ﾟ･｡🍓｡
if I send u a request its because I’d 
like to become friends!~ :3 🤎
d",1
,0
"★I really like making new friends :3 /  Me gusta mucho hacer nuevos amigos :3 ★                                            

★ Can you follow me, please? ^w^ ★

★ ENG/ESP (I speak native Spanish but also English, in case you were wondering). ★

★You can call me ""Kya"" or ""Xya"" or whatever you want. I don't mind. ★

★Consider yourself lucky if I accept your friend request! You’ve managed to make a good impression on me. ★

★I really like being sociable and friendly... ^^★

★ I like patpats :b ★

★silly kitten★ :3",1
"🐾 The silly kemonomimi puppy girl 🐾

🔒 Owned 🔒",1
"Once I met this guy, who knew this guy who knew this guy who knew this guy, who knew this guy who know this guy who knew this guy,  who knew this guy who knew this guy who knew this guy, who knew this guy who knew this guy who knew this guy, who knew this guy’s cousin...",0
i love suzuka in uma musume forever,0
"Hai, I’m Silli. Most times with an i, sometimes with a y",0
. . .,0
(●´ω｀●),0
"What I know about you:
1. your reading this.
2. your a human.
3. you've pressed read more.
4. you cant say the letter p when your lips are shut.
6. you just attempted to do it.
7. your laughing at yourself.
8. you have a smile on your face and btw you skipped number 5.
9. you just checked to see if theres a number 5.
10. youre laughing at it now
11. now your gonna copy and paste this onto your profile",0
"mas año,   mas dolor crear  y mas dolor crea  sufrimiento y trauma de recuerdos buenos que pasas con alguien y otros recuerdos de malos recuerdos, recordar tu pasado...",0
"blue is: vdh02
瘋狂或
..我好累....
whale-ant-mountain",1
I’m that guy,0
"I apologize if I don't respond to your messages right away, but I will do my best to reply.",0
dislikes cons,0
,0
"Nokran, Eternal City next?",0
"Hello, I'm Venus at your service. ^^
hablo más español
ocupo dueño 😞
 no tengo studio 😭",0
"★I really like making new friends :3 /  Me gusta mucho hacer nuevos amigos :3 ★                                            

★ Can you follow me, please? ^w^ ★

★ ENG/ESP (I speak native Spanish but also English, in case you were wondering). ★

★You can call me ""Kya"" or ""Xya"" or whatever you want. I don't mind. ★

★Consider yourself lucky if I accept your friend request! You’ve managed to make a good impression on me. ★

★I really like being sociable and friendly... ^^★

★ I like patpats :b ★

★silly kitten★ :3",1
"꒷◡◠︵𝜗♪‿๑︵◜ᐠ ᕱ⑅ᕱ ᐟ◝︵๑‿♪𝜚︵◠◡꒷
ׅ ᰔᩚ ׄ ݁ ♪ ִ ◜ 𝑤𝑒𝑙𝑐𝑜𝑚𝑒 𝑡𝑜 𝑚𝑦 𝑝𝑟𝑜𝑓𝑖𝑙𝑒 ‹𝟹 ˳ 𝄞 。
꒦︶ও ⸝⸝ ⊹ 𝑝𝑟𝑜𝑛𝑜𝑢𝑛𝑠﹕𝒉𝒆 / 𝒉𝒊𝒎 ฅ ´ ᩳ ˋ⸝⸝ ꒱ᐢ
꒦︶ও ⸝⸝ ⊹ 𝒂𝒈𝒆﹕𝟙𝟞 ฅ ´ ᩳ ˋ⸝⸝ ꒱ᐢ
╭ ྀི ୨ ◟‿◞ .◌˚ ⸝⸝ ꒰ ◜♪ྀི◞ ꒱ ⸝⸝ ˚◌. ◟‿◞ ୧ ྀི╮
˚ʚ♡ɞ˚ 𝑝𝑟𝑒𝑡𝑡𝑦 𝑝𝑙𝑒𝑎𝑠𝑒 𝑎𝑑𝑑 𝑚𝑒!! ˚ʚ♡ɞ˚

𝑺𝒆𝒎𝒊–𝒂𝒄𝒕𝒊𝒗𝒆 (˶˃ ᵕ ˂˶) .ᐟ.ᐟ",1
"""Having someone to mourn for you after your death is a blessing.""",0
"turned my joins off so i can enjoy playing without my sweat friends joining me

disk - nyankonomaly

asym horror enthusiast
i'm cat. meow",1
"heyyy :3 

he/him

if i send a friend request its cus i like ur avatar :3",1
angela here and I love durple,0
"STUDy protogen fr, need get more knowledge..
be ready to get some protobytes inside you!",1
,0
"Niche and quirky.

[Insert niche and quirky thing here...]

wait... let me look for one around here... 

Euphonium.

If I add you then that means your avatar is very tuff.

Did I mention I’m niche and quirky?",1
"Hai my name is Void :3
Titles : Good boy◄

If you have a feeling that i am a femboy then you're correct XD

Funfact i can also sound feminine~♥",1
"Follow me 
Goal : 20/1K",1
"Just me ask before copy my avatar. I'm kind to everyone, I want more frend to share more catalog avatar stuff 🎷🐛

Don't add me just for weird or disgusting purpose. Go away, I only dress like this for myself.

- Someone who like to make Male and Female OCs
  • All of my avatar is my OCs & I never public my avatar in any game
Most of time when I add someone. I just want inspiration from you on my OCs, Yuh I would ask first when I want something 

Sometimes I develop game, All of them are discontinued, Some of game I made with friends can be seen in my favourites list",1
"(大号woaini520_aini)SH1赛季老玩家回归，快手困死的晓白
私はどうしてあなたの恋人になることができますか ? いいえ，(絶対にできません ! )",1
,0
Hello i'm from Vietnam and I can speak English,0
chat banned,0
"Account V2 ✨
ENG/SPA Mostly Spanish :3
------------------------------------------------







lTRjk",1
"hewwo :3

🇦🇷

just some silly argentinian

wish i could make a longer block/unfriend list: gag, skibidi toilet, ""suspicious"" hangout games (like write a letter), weird avatar (i rlly cant give an example of this due to tags).

and btw a very high chance i also block u if you have ur joins off, ofc if i have friended u (i KNOW that u are playing those ""type"" of games)

one last thing: just because im a fmb it doesnt mean i do ""studio"", weirdos.

yes yes im just a hater and idc


i speak spanish and english (mainly spanish)

i can randomly send u a friend request cuz i liked ur avatar or found u as a cool person

i dont like being ignored. (i WILL unfriend/block u bc of this btw)

so uh i hope u are not checking my profile to hate me or anything like that :<

oh yah and u can join me without asking :p

i am a little shy so if i dont talk to u often its cuz of that",1
"A Roblox developer, working on a few games currently. small team of developers, don't mind my primary group as it looks extremely embarrassing, that is until we revamp it. currently using it for our next games, as it has somewhat of a base that can hopefully make our games look real, although we need to rename it and get an emblem for it.

We (I and our administrator, co-owner) don't go by a schedule, and we are extremely slow workers. The work we do is promising, its just that we lack such motivation. We have years of work planned, yet I'm not sure how much of it we will actually release and finish of these concepts, but we will attempt to get as much of what we deem worthy done whenever we want, but only such as a hobby. its already been so long, and yet, we rid of a lot of this work we've done. I hope it doesn't stay this way, and I cant promise that we will release any of these ideas.",1
,0
"~+🩵[Welcome to my profile]🩵+~
I play MULTIPLE instruments🎹🎷🎸
French/English 🇫🇷🇨🇦
If I friend you, you're either a friend of a mutual, I met you in a game, or you avatar/bio was inviting ¯\_(ツ)_/¯
Fav colour: Black 🖤, Purple 💜 & blue 🩵
If you have a problem w/ me, I frankly don't care. I'm just living my life. If that offends you, that's your fault for being so sensitive. 🫵
I play: SEWH, Forsaken (rarely), CyberPunking, Outcome Memories, Violence District (Not good at it), Minesweeper, Block Tales and Carnage!
Anywho, that's pretty much all! Have a nice rest of your 🌅Day/🌇evening/🌆night!

My main avatar is the Blue TV, Moths, and tiger sharks. sooo, yea",1
,0
"I've been told I give off ""tomboy"" attitude, whatever that means.",0
"✧･ﾟ:* *:･ﾟ✧ 𝙟𝙪𝙨𝙩 𝙖 𝙩𝙞𝙧𝙚𝙙 𝙛𝙚𝙡𝙡𝙖  (femboy♡) ✧･ﾟ:* *:･ﾟ✧     
       (once again i'm obssessed playing chain)
I got nothing to say🥀 But hope ya'll have a good day/night~ <3

     ♡   ∧＿ ∧ ＿∧  ♡
   ♡     (⸝⸝_  ._)0  < )     ♡
      ♡ /⌒ づ⊂⌒ヽ ♡",1
"Why are you looking here?


There's nothing here, what are you waiting for?",0
Furry :3,0
"Just a normal girl who like playing roblox
Dis
lucy_690
I only add girls, trans girl or femboy avatar",1
,0
>w<,0
; @chenvyous,0
"헥터, 애니, 릴라, 벤자, 나오미, 더스크, 그들은 나에게 흔적을 남겼어요. 모두 사랑해요 🌸 

Eng/esp 🩵

""Soy relajado, amo dibujar y escribir cosas, le ando dedicando un libro a un vro pero shh no le digas""  🗯️",1
Nah,0
🇧🇷 :3,0
,0
"meow :3

💿: yikessssslol

15, American, mlm

TAKEN ❤️

RAHHHHHH ILY ICEED!!!

I’m very clingy so if I get to know you I probably won’t stop talking to you 

I accept all friend requests so don’t be scared to send one (only if your a furry)

Go bruins and huskies 

Furry (obviously)

I like sports, mostly hockey but I also fw baseball

I love music, some of my favorite artists are Kanye, lil tecca and bunii",1
“The saints will never come”,0
whyy flutter~ when... you have me ~,0
Thx for 100 followers! >w<,0
hi,0
,0
,0
eh?,0
Just who in the hell do you think we are?,0
"―୨♡୧―  
welcome to my profile !!

A pretty boy and proud of it!!! :D
⋆｡°✩
[ Feminine boy~ >w< ]  ˗ˏˋ ♡ ˎˊ˗ [ He/Him ]
⋆｡°✩
Feel free to add me if you are a feminine boy like me --::--> If I sent you a random friend request.. It means I like your avatar
[ I don't do roblox dm but I might reply back sometimes]
⋆｡°✩
byee !
―୨♡୧―",1
"♡ hαii it's ✰ ℝ𝕒𝕪𝕝𝕒𝕟 ✰ !! >⩊<

୨୧⌣⌣⌣⌣ ꒰ Demographics ꒱ ⌣⌣⌣⌣୨୧ 
╰┈➤ ୨ Name ৎ ✰ ℝ𝕒𝕪𝕝𝕒𝕟 ✰
     ୨ Height ৎ 5'9""
     ୨ Gender ৎ Male 
     ୨ Religion ৎ Atheist (respectfully)
         ┈ ┈ 𐂯 ┈ ┈ 
୨ৎ ꒰ Fav Thing ꒱ !! (˶ˆᗜˆ˵)
╰┈➤ ミ★ 𝘐𝘒𝘌𝘈 ★彡 .ᐟ ૮(˶ᵔ ᵕ ᵔ˶)ა🤍
         · · · · · · · ୨ৎ · · · · · · · 
୨ৎ ꒰ Pronouns ꒱: ⸝⸝ 𝓐𝓷𝔂 ノ 𝓐𝓵𝓵!!🧁 ୭ ˚. ꒱ ♡
  ꩜ `✵•.¸,✵°✵.｡.✰ 𝔽𝕖𝕞𝕓𝕠𝕪 :𝟛 ✰.｡.✵°✵,¸.•✵´ !! ૮꒰˶• ༝ •˶꒱ა
       ⌣ ⌣ ⌣ ⌣ ⌣ ⌣ ⌣
୨ৎ ꒰ Personality ꒱: ISTP-T (Virtuoso) ♡ ☆ !


 𐂯 ๑ 🐾  tყ for reαᑯi𐓣g ৎ ꩜
╰ ꒰꒰ 🤍 ｡˚ ҂ ᑲαi ᑲαii >w< .ᐟ ♡ ˚ .



EST (UTC-4)",1
i'm always trying to shine...,0
大丈夫 僕 最強だから,0
"hola amigos, welcome to my profile, internet people!! :3
=====
Here's what you need to know about me!
=====
↓↓↓↓↓↓↓
I'm autistic/have a learning disability and I can sometimes stutter with some words I say, so If you do not like it, then IDK, don't be friends with me.

I'm a person from New York City.

My pronouns are: she/her or any pronouns.
doesn't really matter to me as what it is.

I can be clingy and I sometimes ask alotta questions so if I ever overwhelm you then I'm sorryy, I'm trying my best to work on my clinginess!! ;w;

I'm also 18 years old as of right now.

#b-day, 2007

so uhhh, yeahh.

Also, you can call me by my first name which is (Kayden) though, i like being referred to as my irl name, but you can also call me by my online name too. (kyntra, kass) or anything really, doesn't really matter what you call me!!

I LOVE MAH BEST FRIEND :3 🩷

So, uhh, that's all you need to know about me.

(OK BYE!!!)",1
!!ya me quiero ir de este mundo!!,0
>:3,0
"I love the artist Hatsune Miku<3


Yet.. some music have deep meaning like Retry Now or Mesmerizer but some like Rabbit Hole are just yk.. strange-


I love seeing Kasane Teto crossplayers<3

I don't really care what gender I am my outfit may be a boy or girl but mostly girl's side call me he or she 


I had crossplayed Hatsune Miku, Homura Akemi, Neptunia, and Rabbit Hole Miku

32,000 kills+ on Strongest Battlegrounds 
10 kills on legends Battlegrounds 
Tsb player😭
Just look at my tsb kills😭😭😭
272d 17h time played in total, healthy right?
21,352 games played WHAT WAS I DOING BACK IN 2017-2020, was I really that bored

they/them



Also, I mostly add you back if your avatar is cute and pretty not some troll avatars😰


Also I like Astolfo now :3


Bye bye:3


Ashy or Ash is pretty chill and nice :^",1
"Renard blanc youtube mas vidéo soit abonné moi ou ma connexion 
Alors moi aussi je vous donne mon
Abonné pour vous mes see vous 
Êtes méchant avec je peux  pas être 
Vôtre connexion jamais 
-me how 🦊 me I love friends-",0
,0
,0
#######################################################,0
🤍S🖤,0
"ASTRO TITÁN TV MAN🤝🗿
SKIBIDI TOILETS🤛
ALLIANCE 🤝",0
"! snails are so cool 🐌!


























really likess furrys... 






























                        
























                                      Kabooom! 💥💥💥",1
,0
Badlands,0
Ooo you looking,0
,0
不止步于小号，大号123qwerty7478（忘密码了）,1
,0
,0
,0
"Tell the Roblox community about what you like to make, build, and explore...",0
"Hiyaa !!!!!
she/they trans
18

Feel free to add me if you'd like to!
If you wanna be friends, talk to me in chat! 
DNI: creeps, transphobes, homophobes, zoos
Block me if you're one of those

I don't like badly made cash grab games
I rarely play fighting games
I'm hyperfixed on nullscape

I love listening to music! 
My favorite genres are: breakcore, electronic, alternative, drum & bass, dubstep and techno!
My favorite artist is Artifyber!!!

I'm a shy bnuuy :3
I love bunnies!!! >w<
I'm not follow for follow btw!
I only follow people I think are awesome!

cyaa !!!!",1
"i buil an scrip
my games dont mirro my skill dont check them ✧",0
"山川壯麗，物產豐隆，炎黃世胄，東亞稱雄。
毋自暴自棄，毋故步自封，光我民族，促進大同。
創業維艱，緬懷諸先烈；守成不易，莫徒務近功。
同心同德，貫徹始終，青天白日滿地紅；
同心同德，貫徹始終，青天白日滿地紅。",1
tamago_neko,0
,0
"im a girl that is scared of man and woman.

#1 default mood hater
wta developer. (not-so)
ost maker (not-so)
physical enjoyer",1
"me llamo zack 
tengo 18 año jsjs
y soy fembxy 
tranquilo no muerdo UwU 
mí use zackjavi_1000 es de D",1
"so what if i love her? she's cute, kind caring... >w<",0
"don't scroll down don't do it bozo


























































































































































































NEVER GONNA GIVE UP NEVER GONNA LET YOU DOWN NEVER GONNA RUN AROUND AND DESSERT YOU....",1
"they/them
hello!
Marauder ;p",1
"Just a your friendly neighbourhood goober.

[Basic info]
Age: 22.

Gender: female.

Likes: RP, memes, people, physical affection (with consent).

Dislikes: being forced, bad RP, people, physical affection (without consent).

Don't be afraid to talk to me, just don't make it too weird, I'm a person too.",1
Rikkaluvscookies                                    dc >.<,1
"🍪I'm a bunny boy, and I'm very cute and affectionate>:3
🎂Follow me to help me reach my goal! 
🍩Goal: 350
🤎OMGG!! Tyyy!!! for 300 followes!! waaa!! waaa!! >w<
🤍Thank you so much!! hawh!!~~ >:3























































































































🤎Heiii... My name is Fizzy...~~ :3
❤ don't forget that....~~



















































































































































🤎Good boy...~~🤎",1
,0
"weird

motor cave shallow",1
bring back prime yba PLEASEE,0
"Feel free to add me, I mainly accept follower's requests.

I may take a while to reply to roblox dms since I don't check them too often",1
";)

Spanish/English



preference spanish





















































































Fvta(Dom)
BCC",1
"about me: 

meow meow meow im a fem meow meow meow meow meow im 20 meow meow meow 
idk about what in can talk  :3 
add me if you want",1
"I’m not StrawBearE, ps if you wanna see my real avi ask me",1
,0
"i go by spiritual, or spirit, you choose
she/they
im quite laggy, so expect me to disconnect quite often
i got banned on my old account so thats why i made this one",1
"prime zest fest
THE RAPTURE IS COMING
im a guy 
you know whats up :3",0
8 account gamestories2003 :3,1
qual a semelhança entre o Angron e a Niffty?,0
Ssssssshhhhhhaaaaaaaaarrrrrrrrrrrrrkkkkkkkkkkkkk,0
f 18,0
,0
I like to eat apples and bananas every day!,0
No bioum,0
Wlw,0
"he/him ;3 | Fmby 16
im very quit and shy:D but i'd love if we become friend:p 
i like td , horror , obby , fighting games
Lonely Lonely , I guess im lonely..!",1
